iter	Passed	Remaining
223	36115	44499
224	36266	44326
225	36440	44180
226	36586	44000
227	36785	43883
228	36961	43740
229	37140	43599
230	37283	43416
231	37450	43261
232	37627	43117
233	37793	42961
234	37995	42845
235	38190	42721
236	38346	42553
237	38494	42376
238	38623	42179
239	38788	42021
240	38943	41852
241	39096	41681
242	39260	41522
243	39395	41333
244	39522	41135
245	39676	40966
246	39800	40767
247	39946	40590
248	40137	40459
249	40283	40283
250	40454	40132
251	40590	39945
252	40707	39741
253	40849	39563
254	41007	39399
255	41140	39211
256	41274	39026
257	41447	38877
258	41645	38751
259	41787	38572
260	41958	38422
261	42104	38247
262	42277	38097
263	42447	37945
264	42713	37877
265	42942	37776
266	43159	37663
267	43366	37541
268	43533	37384
269	43679	37208
270	43807	37018
271	44004	36885
272	44157	36716
273	44317	36553
274	44479	36392
275	44629	36221
276	44779	36050
277	44958	35901
278	45110	35732
279	45250	35554
280	45422	35400
281	45560	35220
282	45693	35036
283	45837	34862
284	46025	34720
285	46256	34611
286	46386	34425
287	46524	34247
288	46907	34247
289	47064	34080
290	47233	33923
291	47404	33767
292	47555	33597
293	47711	33430
294	47868	33264
295	48032	33103
296	48189	32937
297	48346	32771
298	48559	32643
299	48730	32487
300	48862	32304
301	49005	32129
302	49167	31966
303	49326	31802
304	49471	31629
305	49642	31472
306	49778	31294
307	49930	31125
308	50078	30954
309	50229	30785
310	50399	30628
311	50573	30474
312	50761	30327
313	50916	30160
314	51094	30007
315	51274	29856
316	51424	29686
317	51575	29518
318	51711	29340
319	51881	29183
320	52026	29011
321	52158	28833
322	52293	28656
323	52431	28481
324	52565	28304
325	52709	28133
326	52892	27982
327	53165	27879
328	53385	27747
329	53600	27612
330	53819	27478
331	54052	27351
332	54274	27218
333	54427	27050
334	54650	26917
335	54879	26786
336	55130	26665
337	55323	26516
338	55552	26383
339	55732	26226
340	55943	26085
341	56109	25921
342	56288	25764
343	56522	25632
344	56680	25465
345	56840	25299
346	57023	25143
347	57207	24987
348	57530	24891
349	57726	24739
350	57913	24584
351	58108	24432
352	58285	24271
353	58445	24104
354	58607	23938
355	58806	23787
356	59027	23644
357	59200	23481
358	59381	23322
359	59609	23181
360	59775	23016
361	59989	22869
362	60178	22712
363	60338	22543
364	60552	22396
365	60781	22253
366	61064	22129
367	61293	21985
368	61484	21827
369	61698	21677
370	61912	21527
371	62133	21379
372	62314	21217
373	62460	21042
374	62666	20888
375	62839	20723
376	63024	20562
377	63215	20402
378	63448	20256
379	63641	20097
380	63845	19941
381	64074	19792
382	64259	19630
383	64410	19457
384	64568	19286
385	64748	19122
386	64995	18978
387	65285	18845
388	65602	18719
389	65744	18543
390	65912	18374
391	66063	18201
392	66207	18026
393	66351	17850
394	66472	17670
395	66603	17491
396	66809	17333
397	66986	17167
398	67146	16996
399	67273	16818
400	67427	16646
401	67540	16465
402	67673	16288
403	67858	16124
404	68019	15955
405	68174	15784
406	68308	15608
407	68467	15438
408	68632	15270
409	68786	15099
410	68957	14932
411	69075	14753
412	69244	14586
413	69395	14415
414	69527	14240
415	69673	14068
416	69814	13896
417	69974	13727
418	70141	13559
419	70289	13388
420	70424	13215
421	70560	13041
422	70698	12869
423	70834	12696
424	70998	12529
425	71152	12359
426	71292	12188
427	71465	12022
428	71663	11860
429	71812	11690
430	71950	11518
431	72088	11347
432	72251	11179
433	72423	11013
434	72719	10866
435	72872	10696
436	73015	10526
437	73155	10355
438	73290	10183
439	73417	10011
440	73545	9839
441	73706	9671
442	73889	9507
443	74027	9336
444	74159	9165
445	74301	8996
446	74446	8827
447	74585	8657
448	74748	8490
449	74910	8323
450	75049	8153
451	75168	7982
452	75300	7812
453	75449	7644
454	75604	7477
455	75754	7309
456	75916	7143
457	76081	6976
458	76208	6807
459	76364	6640
460	76548	6475
461	76710	6309
462	76913	6146
463	77068	5979
464	77211	5811
465	77372	5645
466	77547	5479
467	77692	5312
468	77876	5147
469	78097	4984
470	78331	4822
471	78485	4655
472	78646	4489
473	78815	4323
474	78998	4157
475	79178	3992
476	79323	3824
477	79487	3658
478	79684	3493
479	79829	3326
480	79967	3158
481	80113	2991
482	80268	2825
483	80424	2658
484	80582	2492
485	80785	2327
486	81000	2162
487	81168	1995
488	81353	1830
489	81496	1663
490	81648	1496
491	81842	1330
492	82110	1165
493	82372	1000
494	82545	833
495	82709	667
496	82888	500
497	83043	333
498	83220	166
499	83342	0
