iter	RMSE
0	0.04871525013
1	0.04632407685
2	0.04395872853
3	0.04229163667
4	0.04053456978
5	0.03888129548
6	0.03766000357
7	0.03642631676
8	0.03522726098
9	0.0341255647
10	0.03296440352
11	0.03205072195
12	0.03134828373
13	0.03065443528
14	0.02995591793
15	0.0292405294
16	0.02851831967
17	0.02798849935
18	0.02750964022
19	0.02702656001
20	0.02659916913
21	0.02618202543
22	0.02577384367
23	0.02540393756
24	0.0250385485
25	0.02471704556
26	0.02446472136
27	0.02422712297
28	0.02399005975
29	0.02375468459
30	0.02353280395
31	0.02332214315
32	0.02311755839
33	0.02292286064
34	0.02275040673
35	0.02259452815
36	0.02244158128
37	0.02228750327
38	0.02213352315
39	0.0219867171
40	0.02188097771
41	0.02177560446
42	0.02167509649
43	0.02158684804
44	0.0215035935
45	0.02141915527
46	0.02133989656
47	0.02126421791
48	0.02118891964
49	0.0211182299
50	0.02104917883
51	0.02099355569
52	0.02094645518
53	0.02090090946
54	0.02085741284
55	0.02081586495
56	0.02077678088
57	0.02073937598
58	0.02070353632
59	0.0206688452
60	0.02063536927
61	0.02060290028
62	0.02057216397
63	0.02054259586
64	0.0205149155
65	0.02048931502
66	0.0204645362
67	0.02044021296
68	0.02041642868
69	0.02039500178
70	0.02037457563
71	0.02035672559
72	0.02033979739
73	0.02032384162
74	0.02030889408
75	0.02029430374
76	0.02028069169
77	0.02026756137
78	0.02025519866
79	0.02024333861
80	0.02023198955
81	0.02022105361
82	0.02021037242
83	0.02020022983
84	0.02019068925
85	0.02018174069
86	0.02017324912
87	0.02016485186
88	0.02015722928
89	0.02015024511
90	0.02014320293
91	0.02013616249
92	0.02013006796
93	0.0201242893
94	0.02011879022
95	0.02011351455
96	0.02010786133
97	0.02010272798
98	0.02009821266
99	0.0200939893
100	0.02009001047
101	0.02008553162
102	0.02008176111
103	0.02007840731
104	0.02007488812
105	0.02007143527
106	0.02006791157
107	0.02006471194
108	0.02006167022
109	0.0200590058
110	0.02005646041
111	0.02005207539
112	0.02004963219
113	0.02004682632
114	0.02004466622
115	0.02004260641
116	0.02004026755
117	0.02003802822
118	0.0200360926
119	0.02003421394
120	0.02003199238
121	0.02002987118
